"","qsim_site","river_name","section_id","section_name","km","qsimVis_ID","qsimVis_source"
"SOW__S501.SOW__2.5.m","SOW__S501.SOW__2.5","SOW","S501","SOW",2.5,"SOW","verknet"
"UHW__S504.UHW__2.5.m","UHW__S504.UHW__2.5","UHW","S504","UHW",2.5,"UHW","verknet"
"Pa2__Panke.2__2.458","Pa2__Panke.2__2.458","Pa2","Panke","2",2.458,"Panke","manually_added"
"SOW__S501.SOW__2.4.m","SOW__S501.SOW__2.4","SOW","S501","SOW",2.4,"SOW","verknet"
"UHW__S504.UHW__2.4.m","UHW__S504.UHW__2.4","UHW","S504","UHW",2.4,"UHW","verknet"
"Pa2__Panke.2__2.391","Pa2__Panke.2__2.391","Pa2","Panke","2",2.391,"Panke","manually_added"
"Pa2__Panke.2__2.3525","Pa2__Panke.2__2.3525","Pa2","Panke","2",2.3525,"Panke","manually_added"
"Pa2__Panke.2__2.305","Pa2__Panke.2__2.305","Pa2","Panke","2",2.305,"Panke","manually_added"
"SOW__S501.SOW__2.3.m","SOW__S501.SOW__2.3","SOW","S501","SOW",2.3,"SOW","verknet"
"UHW__S504.UHW__2.3.m","UHW__S504.UHW__2.3","UHW","S504","UHW",2.3,"UHW","verknet"
"WHK__S311.WHK__2.3.m","WHK__S311.WHK__2.3","WHK","S311","WHK",2.3,"WHK","verknet"
"Pa2__Panke.2__2.268","Pa2__Panke.2__2.268","Pa2","Panke","2",2.268,"Panke","manually_added"
"Lwk__S203.Lwk__2.26.m","Lwk__S203.Lwk__2.26","Lwk","S203","Lwk",2.26,"LWK","verknet"
"NSK__S201.Nsk__2.25.m","NSK__S201.Nsk__2.25","NSK","S201","Nsk",2.25,"Neukoellner_Schifffahrtskanal","manually_added"
"Pa2__Panke.2__2.209","Pa2__Panke.2__2.209","Pa2","Panke","2",2.209,"Panke","manually_added"
"SOW__S501.SOW__2.2.m","SOW__S501.SOW__2.2","SOW","S501","SOW",2.2,"SOW","verknet"
"UHW__S503.UHW__2.2.m","UHW__S503.UHW__2.2","UHW","S503","UHW",2.2,"UHW","verknet"
"UHW__S504.UHW__2.2.m","UHW__S504.UHW__2.2","UHW","S504","UHW",2.2,"UHW","verknet"
"Pa2__Panke.2__2.154","Pa2__Panke.2__2.154","Pa2","Panke","2",2.154,"Panke","manually_added"
"Pa2__Panke.2__2.118","Pa2__Panke.2__2.118","Pa2","Panke","2",2.118,"Panke","manually_added"
"SOW__S501.SOW__2.1.m","SOW__S501.SOW__2.1","SOW","S501","SOW",2.1,"SOW","verknet"
"UHW__S503.UHW__2.1.m","UHW__S503.UHW__2.1","UHW","S503","UHW",2.1,"UHW","verknet"
"Pa2__Panke.2__2.038","Pa2__Panke.2__2.038","Pa2","Panke","2",2.038,"Panke","manually_added"
"SOW__S501.SOW__2.m","SOW__S501.SOW__2","SOW","S501","SOW",2,"SOW","verknet"
"UHW__S503.UHW__2.m","UHW__S503.UHW__2","UHW","S503","UHW",2,"UHW","verknet"
"Pa2__Panke.2__1.994","Pa2__Panke.2__1.994","Pa2","Panke","2",1.994,"Panke","manually_added"
